Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-04-02,The Royal Tenenbaums,2001,https://boxd.it/2IuQuz,4.5,,,2022-04-02
2022-04-02,The Batman,2022,https://boxd.it/2IuQVv,3,,,2022-04-02
2022-04-17,CODA,2021,https://boxd.it/2LannL,3,,,2022-04-16
2022-04-23,The Bridges of Madison County,1995,https://boxd.it/2MhLh1,4,,,2022-04-23
2022-05-29,The Past,2013,https://boxd.it/2SGLON,3.5,,,2022-05-28
2022-06-07,Godspeed,2022,https://boxd.it/2Uj5tP,3.5,,,2022-06-07
2022-07-05,Meet Joe Black,1998,https://boxd.it/2ZpWD1,4.5,,,2022-07-04
2022-08-08,Happening,2021,https://boxd.it/36GY2X,4,,,2022-08-07
2022-08-08,Unfaithful,2002,https://boxd.it/36HSJD,4.5,,,2022-08-07
2022-08-08,Carol,2015,https://boxd.it/36Ki3d,2.5,,,2022-08-08
2022-08-09,The Aviator's Wife,1981,https://boxd.it/36ZGM7,4,,,2022-08-09
2022-08-10,The Shape of Water,2017,https://boxd.it/378Dq1,3.5,,,2022-08-09
2022-08-10,I Want You Back,2022,https://boxd.it/37cjJv,3.5,,,2022-08-10
2022-08-11,Submarine,2010,https://boxd.it/37mEXt,4.5,,,2022-08-10
2022-08-12,The Lobster,2015,https://boxd.it/37wjPj,3.5,,,2022-08-11
2022-08-12,The Green Ray,1986,https://boxd.it/37ymRh,3.5,,,2022-08-11
2022-08-13,Boyfriends and Girlfriends,1987,https://boxd.it/37HUoB,3.5,,,2022-08-12
2022-08-13,La Collectionneuse,1967,https://boxd.it/37IIz5,3.5,,,2022-08-12
2022-08-14,Drive My Car,2021,https://boxd.it/37V2p9,3.5,,,2022-08-13
2022-08-14,45 Years,2015,https://boxd.it/384w9t,4.5,,,2022-08-14
2022-08-18,Heartsong,2022,https://boxd.it/38Os4h,3,,,2022-08-17
2022-09-03,The Time Traveler's Wife,2009,https://boxd.it/3bNkdb,3,,,2022-09-02
2022-09-14,Bridget Jones's Diary,2001,https://boxd.it/3dUWTh,3,,,2022-09-13
2022-09-21,The Festival of Troubadours,2022,https://boxd.it/3felJj,1,,,2022-09-20
2022-09-22,Short Term 12,2013,https://boxd.it/3fvlEn,4,,,2022-09-22
2022-10-05,Torment,1994,https://boxd.it/3i30Hr,4,,,2022-10-04
2022-10-09,Nocturnal Animals,2016,https://boxd.it/3iUKGF,4.5,,,2022-10-09
2022-10-30,Aftersun,2022,https://boxd.it/3nhBu3,4,,,2022-10-29
2022-10-30,Undine,2020,https://boxd.it/3nmnv7,3.5,,,2022-10-30
2022-10-31,Cici,2022,https://boxd.it/3nAvlx,3.5,,,2022-10-30
2022-11-12,Triangle of Sadness,2022,https://boxd.it/3qaS0n,4,,,2022-11-12
2022-11-15,Love & Other Drugs,2010,https://boxd.it/3qMZmB,3,,,2022-11-14
2022-11-15,Don't Leave,2022,https://boxd.it/3qQXtt,2.5,,,2022-11-14
2022-11-19,Force Majeure,2014,https://boxd.it/3rCEJN,3.5,,,2022-11-19
2022-11-20,Perfume: The Story of a Murderer,2006,https://boxd.it/3rQp23,3,,,2022-11-20
2022-11-22,The Square,2017,https://boxd.it/3sgM9D,3,,,2022-11-21
2022-11-24,Steve Jobs,2015,https://boxd.it/3sEmTt,2.5,,,2022-11-23
2022-11-28,Ordinary People,1980,https://boxd.it/3tBdQ9,4,,,2022-11-28
2022-11-30,Dear Diary,1993,https://boxd.it/3tYBzH,0.5,,,2022-11-29
2022-12-01,Come and See,1985,https://boxd.it/3u9c7Z,5,,,2022-11-30
2022-12-03,Saraband,2003,https://boxd.it/3uvj93,3,,,2022-12-02
2022-12-06,The Prestige,2006,https://boxd.it/3vbtMN,4.5,,,2022-12-05
2022-12-14,Petite Maman,2021,https://boxd.it/3wYw1d,3,,,2022-12-14
