Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25991855,Varolmanın Dayanılmaz Hafifliği,Milan Kundera,"Kundera, Milan",Fatih Özgüven,"=""9750726170""","=""9789750726170""",4,Can Yayınları,Paperback,334,2015,1984,,2024/10/10,,,read,,,,1,0
7917094,Venedik'te Ölüm,Thomas Mann,"Mann, Thomas",Behçet Necatigil,"=""9750707168""","=""9789750707162""",3,Can Yayınları,Paperback,116,2007,1911,,2024/10/10,,,read,,,,1,0
6786691,Yüreğinin Götürdüğü Yere Git - Mini Kitap,Susanna Tamaro,"Tamaro, Susanna",Eren Yücesan Cendey,"=""9750730550""","=""9789750730559""",4,Can Yayınları,Flipback,288,2016,1994,,2024/10/10,,,read,,,,1,0
2089970,Bir Kış Gecesi Eğer Bir Yolcu,Italo Calvino,"Calvino, Italo",Eren Yücesan Cendey,"=""""","=""""",4,Yapı Kredi Yayınları,Paperback,249,2011,1979,,2024/10/10,,,read,,,,1,0
8653211,Yüzyıllık Yalnızlık,Gabriel García Márquez,"Márquez, Gabriel García",Seçkin Selvi,"=""9755101586""","=""9789755101583""",5,Can Yayınları,Paperback,464,2011,1967,,2024/10/10,,,read,,,,1,0
6849797,Kırmızı Pazartesi,Gabriel García Márquez,"Márquez, Gabriel García",İnci Kut,"=""""","=""""",4,Can Yayınları,Paperback,107,2012,1981,,2024/10/10,,,read,,,,1,0
9269618,Gülün Adı,Umberto Eco,"Eco, Umberto",Şadan Karadeniz,"=""""","=""""",4,Can Yayınları,Paperback,736,2016,1980,,2024/10/10,,,read,,,,1,0
15823493,Kadınlar Okulu,André Gide,"Gide, André",Tahsin Yücel,"=""9750712846""","=""9789750712845""",3,Can Yayınları,Paperback,200,2011,1929,,2024/10/10,,,read,,,,1,0
24148376,Küçük Prens,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Cemal Süreya, Tomris Uyar","=""""","=""""",4,Can Yayınları,Paperback,112,2015,1943,,2024/10/10,,,read,,,,1,0
36489955,Mai ve Siyah,Halid Ziya Uşaklıgil,"Uşaklıgil, Halid Ziya",Ahmed İhsan,"=""""","=""""",3,Can Yayınları,Paperback,360,2017,1896,,2024/10/10,,,read,,,,1,0
