Date,Name,Year,Letterboxd URI
2023-10-30,The Munekata Sisters,1950,https://boxd.it/sp8
2023-10-30,Tokyo-Ga,1985,https://boxd.it/2DyE
2023-10-30,The Outfit,2022,https://boxd.it/u6Eq
2023-11-04,The Flavor of Green Tea Over Rice,1952,https://boxd.it/spi
2023-11-05,The Squid and the Whale,2005,https://boxd.it/1VAG
2023-11-12,The Hedgehog,2009,https://boxd.it/1ERg
2023-11-26,Lost Illusions,2021,https://boxd.it/oxSW
2023-11-26,The Super 8 Years,2022,https://boxd.it/AqnQ
2023-12-01,A Girl in the River: The Price of Forgiveness,2015,https://boxd.it/cNSu
2023-12-08,The Piano,1993,https://boxd.it/29Kq
2023-12-11,The Favourite,2018,https://boxd.it/d2hI
2023-12-20,We Dare to Dream,2023,https://boxd.it/wqaY
2023-12-21,Maestro,2023,https://boxd.it/j0DE
2023-12-22,Dog Day Afternoon,1975,https://boxd.it/29bg
2023-12-30,The Red Balloon,1956,https://boxd.it/1Mxo
2023-12-30,Saltburn,2023,https://boxd.it/z4eg
2023-12-30,It's a Wonderful Life,1946,https://boxd.it/28xA
2024-01-02,Five Feet Apart,2019,https://boxd.it/jaAK
2024-01-02,Parallel Mothers,2021,https://boxd.it/sOP4
2024-01-02,Embrace of the Serpent,2015,https://boxd.it/baba
2024-01-02,Poor Things,2023,https://boxd.it/tNWU
2024-01-09,The Accused,1988,https://boxd.it/1VbQ
2024-01-12,The Color of Pomegranates,1969,https://boxd.it/1u94
2024-01-12,Sunset Boulevard,1950,https://boxd.it/2a20
2024-01-13,Sometimes I Think About Dying,2023,https://boxd.it/xGlg
2024-01-13,Dream Scenario,2023,https://boxd.it/v2h0
2024-01-13,Enron: The Smartest Guys in the Room,2005,https://boxd.it/1R0k
2024-01-24,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2024-01-29,Summerland,2020,https://boxd.it/j1S6
2024-01-29,Stand by Me,1986,https://boxd.it/2aOe
2024-02-10,Fearless,1993,https://boxd.it/1WfE
2024-02-10,The Teachers' Lounge,2023,https://boxd.it/BINY
2024-02-16,Ammonite,2020,https://boxd.it/kQpQ
2024-02-18,Pan's Labyrinth,2006,https://boxd.it/28No
2024-02-20,Safe Place,2022,https://boxd.it/BHo4
2024-02-21,Abiding Nowhere,2024,https://boxd.it/KjCE
2024-02-22,Deception,2021,https://boxd.it/t6fy
2024-02-22,Non-Fiction,2018,https://boxd.it/gUKg
2024-02-25,Elemental,2023,https://boxd.it/ASiE
2024-02-29,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2024-03-02,Zorba the Greek,1964,https://boxd.it/1VQE
2024-03-09,The Iron Claw,2023,https://boxd.it/w5Pm
2024-03-12,Reds,1981,https://boxd.it/1Hhq
2024-04-07,Ingeborg Bachmann – Journey into the Desert,2023,https://boxd.it/AXWE
2024-04-14,The Descendants,2011,https://boxd.it/4Ba
2024-04-15,Godzilla Minus One,2023,https://boxd.it/zu4c
2024-04-15,Toni Erdmann,2016,https://boxd.it/d0xu
2024-04-17,Hold Me Tight,2021,https://boxd.it/spRu
2024-04-23,"Right Now, Wrong Then",2015,https://boxd.it/bWs4
2024-04-24,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440
2024-04-26,A Star Is Born,2018,https://boxd.it/aXgc
2024-04-29,The Brand New Testament,2015,https://boxd.it/aPMO
