Date,Name,Year,Letterboxd URI,Rating
2020-08-17,The Lake House,2006,https://boxd.it/27yM,4
2020-08-17,Alvin and the Chipmunks: The Road Chip,2015,https://boxd.it/7DWQ,3
2020-08-17,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/1zgk,2.5
2020-08-17,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3
2020-08-17,Coraline,2009,https://boxd.it/1NhQ,2.5
2020-08-17,Dumbo,1941,https://boxd.it/1U2o,3
2020-08-17,One Hundred and One Dalmatians,1961,https://boxd.it/1SeC,2
2020-08-17,Finding Dory,2016,https://boxd.it/4aAA,2.5
2020-08-17,A Bug's Life,1998,https://boxd.it/1Yyy,3
2020-08-17,Like Stars on Earth,2007,https://boxd.it/20SA,3.5
2020-08-17,Spider-Man,2002,https://boxd.it/2a8i,3
2020-08-17,Gladiator,2000,https://boxd.it/2b9m,3
2020-08-17,The Green Mile,1999,https://boxd.it/2agG,3
2020-08-17,Rain Man,1988,https://boxd.it/2avw,4.5
2020-08-17,Decalogue I,1989,https://boxd.it/3WmE,3
2020-08-17,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3.5
2020-08-17,Return of the Jedi,1983,https://boxd.it/27Vm,2.5
2020-08-17,The Empire Strikes Back,1980,https://boxd.it/27Vw,3
2020-08-17,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2020-08-17,The Best Offer,2013,https://boxd.it/4Oh4,3
2020-08-17,My First Time,2012,https://boxd.it/3MX6,2.5
2020-08-17,Love Likes Coincidences,2011,https://boxd.it/nVe,3
2020-08-17,Begin Again,2013,https://boxd.it/5Ybs,4.5
2020-08-17,Three Steps Above Heaven,2010,https://boxd.it/cpG,3.5
2020-08-17,Monsters University,2013,https://boxd.it/bQm,3.5
2020-08-24,Piano Piano Kid,1991,https://boxd.it/322y,4
2021-01-25,Soul,2020,https://boxd.it/ioLA,5
2021-01-25,Night on Earth,1991,https://boxd.it/2ayq,3
2021-03-09,The Painted Veil,2006,https://boxd.it/1OyS,4.5
2021-03-09,Se7en,1995,https://boxd.it/29zs,3
2021-03-09,Kate & Leopold,2001,https://boxd.it/1Uj0,2.5
2021-03-09,A Few Good Men,1992,https://boxd.it/29nw,4.5
2021-03-09,Nomadland,2020,https://boxd.it/lnRy,3
2021-03-09,To the Wonder,2012,https://boxd.it/gpU,3.5
2021-03-09,Stuck Apart,2021,https://boxd.it/o2cU,2
2021-03-09,I Care a Lot,2020,https://boxd.it/mcHk,0.5
2021-03-10,Schindler's List,1993,https://boxd.it/2aq2,5
2021-03-11,Cold War,2018,https://boxd.it/fEoc,2.5
2021-03-13,Being John Malkovich,1999,https://boxd.it/2ahu,4
2021-03-14,Little Women,2019,https://boxd.it/aSVk,4
2021-03-16,The Devil All the Time,2020,https://boxd.it/i2tY,4
2021-03-17,It's Only the End of the World,2016,https://boxd.it/be0K,3.5
2021-03-21,No Country for Old Men,2007,https://boxd.it/21ew,0.5
2021-03-21,21 Grams,2003,https://boxd.it/2ajK,3.5
2021-03-21,P.S. I Love You,2007,https://boxd.it/229C,4
2021-03-21,Horton Hears a Who!,2008,https://boxd.it/1SfA,2
2021-03-21,Alvin and the Chipmunks,2007,https://boxd.it/21E0,3
2021-03-21,Bolt,2008,https://boxd.it/1QXg,3
2021-03-21,Twilight,2008,https://boxd.it/1Zui,3
2021-03-21,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,3
2021-03-21,The Butterfly's Dream,2013,https://boxd.it/5haQ,4
2021-03-21,Karakomik Filmler,2019,https://boxd.it/jMsO,3
2021-03-21,Tenet,2020,https://boxd.it/leq4,1
2021-03-21,Smurfs: The Lost Village,2017,https://boxd.it/4pCG,2
2021-03-21,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,2
2021-03-21,The Great Gatsby,2013,https://boxd.it/JY,3
2021-03-21,How to Train Your Dragon,2010,https://boxd.it/1WRy,3
2021-03-21,Beyaz Melek,2007,https://boxd.it/1qBy,3
2021-03-21,Shark Tale,2004,https://boxd.it/1VYe,5
2021-03-21,A Walk to Remember,2002,https://boxd.it/1WLq,3
2021-03-24,Palm Springs,2020,https://boxd.it/lCXQ,2.5
2021-04-11,While We're Young,2014,https://boxd.it/7oOs,3.5
2021-04-12,Time to Love,1965,https://boxd.it/46cu,2.5
